COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Riverside,2016,Child vs. adult,0–17 years,0–17 years,"3,951",66.5,
Sacramento,2016,Child vs. adult,0–17 years,0–17 years,"2,825",78.2,
San Benito,2016,Child vs. adult,0–17 years,0–17 years,120,83.2,
San Bernardino,2016,Child vs. adult,0–17 years,0–17 years,"4,679",81.2,
San Diego,2016,Child vs. adult,0–17 years,0–17 years,"4,085",51,
San Francisco,2016,Child vs. adult,0–17 years,0–17 years,930,67.7,
San Joaquin,2016,Child vs. adult,0–17 years,0–17 years,"1,587",80.1,
San Luis Obispo,2016,Child vs. adult,0–17 years,0–17 years,268,54.3,
San Mateo,2016,Child vs. adult,0–17 years,0–17 years,782,48.2,
Santa Barbara,2016,Child vs. adult,0–17 years,0–17 years,685,67.8,
Santa Clara,2016,Child vs. adult,0–17 years,0–17 years,"1,676",37.4,
Santa Cruz,2016,Child vs. adult,0–17 years,0–17 years,332,56,
Shasta,2016,Child vs. adult,0–17 years,0–17 years,255,68.5,
Sierra,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Child vs. adult,0–17 years,0–17 years,29,33.2,
Solano,2016,Child vs. adult,0–17 years,0–17 years,"1,079",108.9,
Sonoma,2016,Child vs. adult,0–17 years,0–17 years,535,55.1,
Stanislaus,2016,Child vs. adult,0–17 years,0–17 years,"1,062",73.3,
Sutter,2016,Child vs. adult,0–17 years,0–17 years,126,50.7,
Tehama,2016,Child vs. adult,0–17 years,0–17 years,112,72.6,
Trinity,2016,Child vs. adult,0–17 years,0–17 years,12,56.9,
Tulare,2016,Child vs. adult,0–17 years,0–17 years,960,66.4,
Tuolumne,2016,Child vs. adult,0–17 years,0–17 years,52,59.3,
Ventura,2016,Child vs. adult,0–17 years,0–17 years,"1,164",58.8,
Yolo,2016,Child vs. adult,0–17 years,0–17 years,287,59.4,
Yuba,2016,Child vs. adult,0–17 years,0–17 years,95,43.7,
California,2016,Child vs. adult,18+ years,18+ years,"105,358",35.5,
Alameda,2016,Child vs. adult,18+ years,18+ years,"5,651",43.7,
Alpine,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016,Child vs. adult,18+ years,18+ years,131,48.4,
Butte,2016,Child vs. adult,18+ years,18+ years,544,34,
Calaveras,2016,Child vs. adult,18+ years,18+ years,131,42.3,
Colusa,2016,Child vs. adult,18+ years,18+ years,41,25,
Contra Costa,2016,Child vs. adult,18+ years,18+ years,"3,836",45.7,
Del Norte,2016,Child vs. adult,18+ years,18+ years,101,53.9,
El Dorado,2016,Child vs. adult,18+ years,18+ years,409,32.4,
Fresno,2016,Child vs. adult,18+ years,18+ years,"2,864",41.1,
Glenn,2016,Child vs. adult,18+ years,18+ years,65,31.3,
Humboldt,2016,Child vs. adult,18+ years,18+ years,655,66.8,
Imperial,2016,Child vs. adult,18+ years,18+ years,569,43.1,
Inyo,2016,Child vs. adult,18+ years,18+ years,51,38.8,
Kern,2016,Child vs. adult,18+ years,18+ years,"2,780",43.3,
Kings,2016,Child vs. adult,18+ years,18+ years,517,49,
Lake,2016,Child vs. adult,18+ years,18+ years,379,79.4,
Lassen,2016,Child vs. adult,18+ years,18+ years,86,33.8,
Los Angeles,2016,Child vs. adult,18+ years,18+ years,"30,316",38.6,
Madera,2016,Child vs. adult,18+ years,18+ years,361,32.3,
Marin,2016,Child vs. adult,18+ years,18+ years,377,19.7,
Mariposa,2016,Child vs. adult,18+ years,18+ years,44,34.1,
Mendocino,2016,Child vs. adult,18+ years,18+ years,323,52.8,
Merced,2016,Child vs. adult,18+ years,18+ years,"1,172",61.2,
Modoc,2016,Child vs. adult,18+ years,18+ years,40,68.2,
Mono,2016,Child vs. adult,18+ years,18+ years,19,20.8,
Monterey,2016,Child vs. adult,18+ years,18+ years,"1,201",37,
Napa,2016,Child vs. adult,18+ years,18+ years,291,27.2,
Nevada,2016,Child vs. adult,18+ years,18+ years,207,32.3,
Orange,2016,Child vs. adult,18+ years,18+ years,"5,006",20.7,
Placer,2016,Child vs. adult,18+ years,18+ years,680,24.8,
Plumas,2016,Child vs. adult,18+ years,18+ years,77,58.3,
Riverside,2016,Child vs. adult,18+ years,18+ years,"5,645",32.7,
Sacramento,2016,Child vs. adult,18+ years,18+ years,"6,128",54.7,
San Benito,2016,Child vs. adult,18+ years,18+ years,148,36.8,
San Bernardino,2016,Child vs. adult,18+ years,18+ years,"6,656",41.8,
San Diego,2016,Child vs. adult,18+ years,18+ years,"5,983",24,
San Francisco,2016,Child vs. adult,18+ years,18+ years,"2,067",28.4,
San Joaquin,2016,Child vs. adult,18+ years,18+ years,"2,658",49.6,
San Luis Obispo,2016,Child vs. adult,18+ years,18+ years,658,32.4,
San Mateo,2016,Child vs. adult,18+ years,18+ years,"1,600",27,
Santa Barbara,2016,Child vs. adult,18+ years,18+ years,956,27.3,
Santa Clara,2016,Child vs. adult,18+ years,18+ years,"3,858",26.1,
Santa Cruz,2016,Child vs. adult,18+ years,18+ years,532,26.9,
Shasta,2016,Child vs. adult,18+ years,18+ years,471,38.7,
Sierra,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Child vs. adult,18+ years,18+ years,99,33.9,
Solano,2016,Child vs. adult,18+ years,18+ years,"2,270",71,
Sonoma,2016,Child vs. adult,18+ years,18+ years,"1,147",30.2,
Stanislaus,2016,Child vs. adult,18+ years,18+ years,"1,701",43.6,
Sutter,2016,Child vs. adult,18+ years,18+ years,198,27.8,
Tehama,2016,Child vs. adult,18+ years,18+ years,223,50.2,
Trinity,2016,Child vs. adult,18+ years,18+ years,43,51.2,
Tulare,2016,Child vs. adult,18+ years,18+ years,"1,020",31.6,
Tuolumne,2016,Child vs. adult,18+ years,18+ years,172,42.6,
Ventura,2016,Child vs. adult,18+ years,18+ years,"1,455",23.2,
Yolo,2016,Child vs. adult,18+ years,18+ years,487,31.1,
Yuba,2016,Child vs. adult,18+ years,18+ years,202,37.7,
California,2016,Age groups,0–4 years,0–4 years,"23,613",94.8,
Alameda,2016,Age groups,0–4 years,0–4 years,"1,329",137.4,
Alpine,2016,Age groups,0–4 years,0–4 years,0,0,
Amador,2016,Age groups,0–4 years,0–4 years,13,94,
Butte,2016,Age groups,0–4 years,0–4 years,60,49.4,
Calaveras,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Age groups,0–4 years,0–4 years,740,118.7,
Del Norte,2016,Age groups,0–4 years,0–4 years,19,119.9,
El Dorado,2016,Age groups,0–4 years,0–4 years,42,53.8,
Fresno,2016,Age groups,0–4 years,0–4 years,"1,621",206.3,
Glenn,2016,Age groups,0–4 years,0–4 years,13,66.7,
Humboldt,2016,Age groups,0–4 years,0–4 years,57,76.2,
Imperial,2016,Age groups,0–4 years,0–4 years,177,105.6,
Inyo,2016,Age groups,0–4 years,0–4 years,20,168.4,
Kern,2016,Age groups,0–4 years,0–4 years,704,100.4,
Kings,2016,Age groups,0–4 years,0–4 years,187,157,
Lake,2016,Age groups,0–4 years,0–4 years,37,98.5,
Lassen,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Age groups,0–4 years,0–4 years,"6,606",103.7,
Madera,2016,Age groups,0–4 years,0–4 years,224,196.7,
Marin,2016,Age groups,0–4 years,0–4 years,55,46.6,
Mariposa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,0–4 years,0–4 years,44,83.9,
Merced,2016,Age groups,0–4 years,0–4 years,330,157.8,
Modoc,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Age groups,0–4 years,0–4 years,251,78.3,
Napa,2016,Age groups,0–4 years,0–4 years,50,68.1,
Nevada,2016,Age groups,0–4 years,0–4 years,18,44.6,
Orange,2016,Age groups,0–4 years,0–4 years,"1,451",75.9,
Placer,2016,Age groups,0–4 years,0–4 years,98,53.1,
Plumas,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,0–4 years,0–4 years,"1,137",74.5,
Sacramento,2016,Age groups,0–4 years,0–4 years,974,99.6,
San Benito,2016,Age groups,0–4 years,0–4 years,26,71.3,
San Bernardino,2016,Age groups,0–4 years,0–4 years,"1,424",93.7,
San Diego,2016,Age groups,0–4 years,0–4 years,"1,677",75,
San Francisco,2016,Age groups,0–4 years,0–4 years,482,110.9,
San Joaquin,2016,Age groups,0–4 years,0–4 years,504,98.8,
San Luis Obispo,2016,Age groups,0–4 years,0–4 years,81,62,
San Mateo,2016,Age groups,0–4 years,0–4 years,335,77.9,
Santa Barbara,2016,Age groups,0–4 years,0–4 years,215,74.7,
Santa Clara,2016,Age groups,0–4 years,0–4 years,582,47.6,
Santa Cruz,2016,Age groups,0–4 years,0–4 years,115,71.7,
Shasta,2016,Age groups,0–4 years,0–4 years,86,86.9,
Sierra,2016,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,0–4 years,0–4 years,321,123.1,
Sonoma,2016,Age groups,0–4 years,0–4 years,173,68.8,
Stanislaus,2016,Age groups,0–4 years,0–4 years,306,79.9,
Sutter,2016,Age groups,0–4 years,0–4 years,44,68,
Tehama,2016,Age groups,0–4 years,0–4 years,30,69.1,
Trinity,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,0–4 years,0–4 years,354,92.7,
Tuolumne,2016,Age groups,0–4 years,0–4 years,16,69.9,
Ventura,2016,Age groups,0–4 years,0–4 years,397,76.6,
Yolo,2016,Age groups,0–4 years,0–4 years,99,78.9,
Yuba,2016,Age groups,0–4 years,0–4 years,37,62,
California,2016,Age groups,5–17 years,5–17 years,"45,762",68.1,
Alameda,2016,Age groups,5–17 years,5–17 years,"2,106",84.2,
Alpine,2016,Age groups,5–17 years,5–17 years,0,0,
Amador,2016,Age groups,5–17 years,5–17 years,43,102.8,
Butte,2016,Age groups,5–17 years,5–17 years,166,50.1,
Calaveras,2016,Age groups,5–17 years,5–17 years,35,63,
Colusa,2016,Age groups,5–17 years,5–17 years,19,41.6,
Contra Costa,2016,Age groups,5–17 years,5–17 years,"1,445",77.8,
Del Norte,2016,Age groups,5–17 years,5–17 years,52,121.1,
El Dorado,2016,Age groups,5–17 years,5–17 years,113,41.1,
Fresno,2016,Age groups,5–17 years,5–17 years,"2,445",120,
Glenn,2016,Age groups,5–17 years,5–17 years,25,44.6,
Humboldt,2016,Age groups,5–17 years,5–17 years,103,51,
Imperial,2016,Age groups,5–17 years,5–17 years,541,143,
Inyo,2016,Age groups,5–17 years,5–17 years,19,70.6,
Kern,2016,Age groups,5–17 years,5–17 years,"1,524",81.9,
Kings,2016,Age groups,5–17 years,5–17 years,323,94.2,
Lake,2016,Age groups,5–17 years,5–17 years,71,72.7,
Lassen,2016,Age groups,5–17 years,5–17 years,26,68.3,
Los Angeles,2016,Age groups,5–17 years,5–17 years,"13,856",83,
Madera,2016,Age groups,5–17 years,5–17 years,371,119.7,
Marin,2016,Age groups,5–17 years,5–17 years,111,28,
Mariposa,2016,Age groups,5–17 years,5–17 years,16,77.7,
Mendocino,2016,Age groups,5–17 years,5–17 years,84,60.4,
Merced,2016,Age groups,5–17 years,5–17 years,709,121,
Modoc,2016,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
Mono,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Age groups,5–17 years,5–17 years,507,60.6,
Napa,2016,Age groups,5–17 years,5–17 years,98,45.5,
Nevada,2016,Age groups,5–17 years,5–17 years,42,34.8,
Orange,2016,Age groups,5–17 years,5–17 years,"2,421",45.6,
Placer,2016,Age groups,5–17 years,5–17 years,190,33,
Plumas,2016,Age groups,5–17 years,5–17 years,18,77,
Riverside,2016,Age groups,5–17 years,5–17 years,"2,814",63.6,
Sacramento,2016,Age groups,5–17 years,5–17 years,"1,851",70.3,
San Benito,2016,Age groups,5–17 years,5–17 years,94,87.5,
San Bernardino,2016,Age groups,5–17 years,5–17 years,"3,255",76.6,
San Diego,2016,Age groups,5–17 years,5–17 years,"2,408",42.2,
San Francisco,2016,Age groups,5–17 years,5–17 years,448,51.9,
San Joaquin,2016,Age groups,5–17 years,5–17 years,"1,083",73.3,
San Luis Obispo,2016,Age groups,5–17 years,5–17 years,187,51.4,
San Mateo,2016,Age groups,5–17 years,5–17 years,447,37.4,
Santa Barbara,2016,Age groups,5–17 years,5–17 years,470,65.3,
Santa Clara,2016,Age groups,5–17 years,5–17 years,"1,094",33.7,
Santa Cruz,2016,Age groups,5–17 years,5–17 years,217,50.2,
Shasta,2016,Age groups,5–17 years,5–17 years,169,61.8,
Sierra,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Age groups,5–17 years,5–17 years,20,31.2,
Solano,2016,Age groups,5–17 years,5–17 years,758,103.7,
Sonoma,2016,Age groups,5–17 years,5–17 years,362,50,
Stanislaus,2016,Age groups,5–17 years,5–17 years,756,70.9,
Sutter,2016,Age groups,5–17 years,5–17 years,82,44.3,
Tehama,2016,Age groups,5–17 years,5–17 years,82,73.9,
Trinity,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,5–17 years,5–17 years,606,56.7,
Tuolumne,2016,Age groups,5–17 years,5–17 years,36,55.4,
Ventura,2016,Age groups,5–17 years,5–17 years,767,52.3,
Yolo,2016,Age groups,5–17 years,5–17 years,188,52.3,
Yuba,2016,Age groups,5–17 years,5–17 years,58,36.9,
California,2016,Age groups,18–64 years,18–64 years,"93,650",38.4,
Alameda,2016,Age groups,18–64 years,18–64 years,"4,887",45.6,
Alpine,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016,Age groups,18–64 years,18–64 years,113,54.3,
Butte,2016,Age groups,18–64 years,18–64 years,496,38.7,
Calaveras,2016,Age groups,18–64 years,18–64 years,111,47.9,
Colusa,2016,Age groups,18–64 years,18–64 years,36,27.5,
Contra Costa,2016,Age groups,18–64 years,18–64 years,"3,390",49.8,
Del Norte,2016,Age groups,18–64 years,18–64 years,94,62,
El Dorado,2016,Age groups,18–64 years,18–64 years,367,36.7,
Fresno,2016,Age groups,18–64 years,18–64 years,"2,544",43.7,
Glenn,2016,Age groups,18–64 years,18–64 years,55,33.1,
Humboldt,2016,Age groups,18–64 years,18–64 years,615,77.2,
Imperial,2016,Age groups,18–64 years,18–64 years,485,44.1,
Inyo,2016,Age groups,18–64 years,18–64 years,45,43.7,
Kern,2016,Age groups,18–64 years,18–64 years,"2,575",47.8,
Kings,2016,Age groups,18–64 years,18–64 years,474,53.2,
Lake,2016,Age groups,18–64 years,18–64 years,333,89.1,
Lassen,2016,Age groups,18–64 years,18–64 years,78,37,
Los Angeles,2016,Age groups,18–64 years,18–64 years,"27,003",41.5,
Madera,2016,Age groups,18–64 years,18–64 years,312,34.3,
Marin,2016,Age groups,18–64 years,18–64 years,310,21.1,
Mariposa,2016,Age groups,18–64 years,18–64 years,30,34.9,
Mendocino,2016,Age groups,18–64 years,18–64 years,288,59.9,
Merced,2016,Age groups,18–64 years,18–64 years,"1,085",67.8,
Modoc,2016,Age groups,18–64 years,18–64 years,38,80.6,
Mono,2016,Age groups,18–64 years,18–64 years,19,25,
Monterey,2016,Age groups,18–64 years,18–64 years,"1,081",40.3,
Napa,2016,Age groups,18–64 years,18–64 years,223,27.1,
Nevada,2016,Age groups,18–64 years,18–64 years,181,36.8,
Orange,2016,Age groups,18–64 years,18–64 years,"4,304",21.7,
Placer,2016,Age groups,18–64 years,18–64 years,575,26.9,
Plumas,2016,Age groups,18–64 years,18–64 years,62,64.8,
Riverside,2016,Age groups,18–64 years,18–64 years,"5,082",36,
Sacramento,2016,Age groups,18–64 years,18–64 years,"5,637",60.8,
San Benito,2016,Age groups,18–64 years,18–64 years,126,38.1,
San Bernardino,2016,Age groups,18–64 years,18–64 years,"6,109",45.7,
San Diego,2016,Age groups,18–64 years,18–64 years,"5,286",25.7,
San Francisco,2016,Age groups,18–64 years,18–64 years,"1,771",29.9,
San Joaquin,2016,Age groups,18–64 years,18–64 years,"2,446",55.2,
San Luis Obispo,2016,Age groups,18–64 years,18–64 years,559,35.5,
San Mateo,2016,Age groups,18–64 years,18–64 years,"1,291",27.5,
Santa Barbara,2016,Age groups,18–64 years,18–64 years,803,28.1,
Santa Clara,2016,Age groups,18–64 years,18–64 years,"3,356",27.6,
Santa Cruz,2016,Age groups,18–64 years,18–64 years,467,28.8,
Shasta,2016,Age groups,18–64 years,18–64 years,435,44.6,
Sierra,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Age groups,18–64 years,18–64 years,85,38.2,
Solano,2016,Age groups,18–64 years,18–64 years,"2,032",78,
Sonoma,2016,Age groups,18–64 years,18–64 years,986,32.7,
Stanislaus,2016,Age groups,18–64 years,18–64 years,"1,546",47.9,
Sutter,2016,Age groups,18–64 years,18–64 years,177,30.4,
Tehama,2016,Age groups,18–64 years,18–64 years,200,56.6,
Trinity,2016,Age groups,18–64 years,18–64 years,40,60.1,
Tulare,2016,Age groups,18–64 years,18–64 years,925,34.3,
Tuolumne,2016,Age groups,18–64 years,18–64 years,139,46.6,
Ventura,2016,Age groups,18–64 years,18–64 years,"1,277",24.9,
Yolo,2016,Age groups,18–64 years,18–64 years,435,33.3,
Yuba,2016,Age groups,18–64 years,18–64 years,179,39.8,
California,2016,Age groups,65+ years,65+ years,"11,708",21.4,
Alameda,2016,Age groups,65+ years,65+ years,764,34.3,
Alpine,2016,Age groups,65+ years,65+ years,0,0,
Amador,2016,Age groups,65+ years,65+ years,18,19.6,
Butte,2016,Age groups,65+ years,65+ years,48,11.2,
Calaveras,2016,Age groups,65+ years,65+ years,20,15.2,
Colusa,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Age groups,65+ years,65+ years,446,25.5,
Del Norte,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,65+ years,65+ years,42,11.5,
Fresno,2016,Age groups,65+ years,65+ years,320,28.4,
Glenn,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,65+ years,65+ years,40,16.4,
Imperial,2016,Age groups,65+ years,65+ years,84,38.3,
Inyo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Age groups,65+ years,65+ years,205,21.2,
Kings,2016,Age groups,65+ years,65+ years,43,28.7,
Lake,2016,Age groups,65+ years,65+ years,46,32.2,
Lassen,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Age groups,65+ years,65+ years,"3,313",24.4,
Madera,2016,Age groups,65+ years,65+ years,49,22.7,
Marin,2016,Age groups,65+ years,65+ years,67,12.6,
Mariposa,2016,Age groups,65+ years,65+ years,14,29.8,
Mendocino,2016,Age groups,65+ years,65+ years,35,18.5,
Merced,2016,Age groups,65+ years,65+ years,87,29.1,
Modoc,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2016,Age groups,65+ years,65+ years,0,0,
Monterey,2016,Age groups,65+ years,65+ years,120,20.7,
Napa,2016,Age groups,65+ years,65+ years,68,27.5,
Nevada,2016,Age groups,65+ years,65+ years,26,10.2,
Orange,2016,Age groups,65+ years,65+ years,702,15.7,
Placer,2016,Age groups,65+ years,65+ years,105,14.6,
Plumas,2016,Age groups,65+ years,65+ years,15,26.2,
Riverside,2016,Age groups,65+ years,65+ years,563,16.8,
Sacramento,2016,Age groups,65+ years,65+ years,491,24.9,
San Benito,2016,Age groups,65+ years,65+ years,22,30.2,
San Bernardino,2016,Age groups,65+ years,65+ years,547,22.8,
San Diego,2016,Age groups,65+ years,65+ years,697,15.3,
San Francisco,2016,Age groups,65+ years,65+ years,296,21.2,
San Joaquin,2016,Age groups,65+ years,65+ years,212,22.8,
San Luis Obispo,2016,Age groups,65+ years,65+ years,99,17.7,
San Mateo,2016,Age groups,65+ years,65+ years,309,24.6,
Santa Barbara,2016,Age groups,65+ years,65+ years,153,23,
Santa Clara,2016,Age groups,65+ years,65+ years,502,19.2,
Santa Cruz,2016,Age groups,65+ years,65+ years,65,17.4,
Shasta,2016,Age groups,65+ years,65+ years,36,9.9,
Sierra,2016,Age groups,65+ years,65+ years,0,0,
Siskiyou,2016,Age groups,65+ years,65+ years,14,12.9,
Solano,2016,Age groups,65+ years,65+ years,238,36.8,
Sonoma,2016,Age groups,65+ years,65+ years,161,17.9,
Stanislaus,2016,Age groups,65+ years,65+ years,155,22.6,
Sutter,2016,Age groups,65+ years,65+ years,21,14.8,
Tehama,2016,Age groups,65+ years,65+ years,23,18.7,
Trinity,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,65+ years,65+ years,95,18.3,
Tuolumne,2016,Age groups,65+ years,65+ years,33,23.2,
Ventura,2016,Age groups,65+ years,65+ years,178,14.6,
Yolo,2016,Age groups,65+ years,65+ years,52,20.7,
Yuba,2016,Age groups,65+ years,65+ years,23,27.1,
California,2016,Race/ethnicity,White,All ages,"45,866",34.8,
Alameda,2016,Race/ethnicity,White,All ages,"1,438",28.8,
Alpine,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016,Race/ethnicity,White,All ages,146,62.7,
Butte,2016,Race/ethnicity,White,All ages,571,41.3,
Calaveras,2016,Race/ethnicity,White,All ages,151,50.5,
Colusa,2016,Race/ethnicity,White,All ages,33,42.4,
Contra Costa,2016,Race/ethnicity,White,All ages,"1,534",34,
Del Norte,2016,Race/ethnicity,White,All ages,126,92.3,
El Dorado,2016,Race/ethnicity,White,All ages,355,30.1,
Fresno,2016,Race/ethnicity,White,All ages,"1,631",66.2,
Glenn,2016,Race/ethnicity,White,All ages,48,33,
Humboldt,2016,Race/ethnicity,White,All ages,603,66.1,
Imperial,2016,Race/ethnicity,White,All ages,120,62.2,
Inyo,2016,Race/ethnicity,White,All ages,45,44.1,
Kern,2016,Race/ethnicity,White,All ages,"1,432",49.8,
Kings,2016,Race/ethnicity,White,All ages,311,65.9,
Lake,2016,Race/ethnicity,White,All ages,351,82.5,
Lassen,2016,Race/ethnicity,White,All ages,92,50.8,
Los Angeles,2016,Race/ethnicity,White,All ages,"7,663",32.3,
Madera,2016,Race/ethnicity,White,All ages,217,52.5,
Marin,2016,Race/ethnicity,White,All ages,303,19.3,
Mariposa,2016,Race/ethnicity,White,All ages,53,45.7,
Mendocino,2016,Race/ethnicity,White,All ages,275,58.4,
Merced,2016,Race/ethnicity,White,All ages,588,84.4,
Modoc,2016,Race/ethnicity,White,All ages,44,81.9,
Mono,2016,Race/ethnicity,White,All ages,19,30.8,
Monterey,2016,Race/ethnicity,White,All ages,427,37.4,
Napa,2016,Race/ethnicity,White,All ages,230,35.6,
Nevada,2016,Race/ethnicity,White,All ages,237,37.3,
Orange,2016,Race/ethnicity,White,All ages,"3,230",28.3,
Placer,2016,Race/ethnicity,White,All ages,699,28.9,
Plumas,2016,Race/ethnicity,White,All ages,69,53.3,
Riverside,2016,Race/ethnicity,White,All ages,"2,934",39.8,
Sacramento,2016,Race/ethnicity,White,All ages,"2,707",42.3,
San Benito,2016,Race/ethnicity,White,All ages,84,51,
San Bernardino,2016,Race/ethnicity,White,All ages,"2,716",44.3,
San Diego,2016,Race/ethnicity,White,All ages,"2,930",20.9,
San Francisco,2016,Race/ethnicity,White,All ages,751,23,
San Joaquin,2016,Race/ethnicity,White,All ages,"1,014",46.4,
San Luis Obispo,2016,Race/ethnicity,White,All ages,588,37.6,
San Mateo,2016,Race/ethnicity,White,All ages,676,24.5,
Santa Barbara,2016,Race/ethnicity,White,All ages,578,33.4,
Santa Clara,2016,Race/ethnicity,White,All ages,"1,399",23.6,
Santa Cruz,2016,Race/ethnicity,White,All ages,406,30.5,
Shasta,2016,Race/ethnicity,White,All ages,570,47.4,
Sierra,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Race/ethnicity,White,All ages,105,37.7,
Solano,2016,Race/ethnicity,White,All ages,914,61,
Sonoma,2016,Race/ethnicity,White,All ages,937,34.9,
Stanislaus,2016,Race/ethnicity,White,All ages,"1,024",49,
Sutter,2016,Race/ethnicity,White,All ages,155,37.3,
Tehama,2016,Race/ethnicity,White,All ages,236,61.2,
Trinity,2016,Race/ethnicity,White,All ages,50,61.8,
Tulare,2016,Race/ethnicity,White,All ages,320,26.7,
Tuolumne,2016,Race/ethnicity,White,All ages,197,52.4,
Ventura,2016,Race/ethnicity,White,All ages,"1,045",32.6,
Yolo,2016,Race/ethnicity,White,All ages,287,31.7,
Yuba,2016,Race/ethnicity,White,All ages,180,44,
California,2016,Race/ethnicity,Black,All ages,"36,180",168.1,
Alameda,2016,Race/ethnicity,Black,All ages,"3,646",204,
Alpine,2016,Race/ethnicity,Black,All ages,0,0,
Amador,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,Black,All ages,66,201.3,
Calaveras,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Race/ethnicity,Black,All ages,0,0,
Contra Costa,2016,Race/ethnicity,Black,All ages,"1,982",206.2,
Del Norte,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,Black,All ages,14,111.8,
Fresno,2016,Race/ethnicity,Black,All ages,721,146.4,
Glenn,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Race/ethnicity,Black,All ages,70,456.3,
Imperial,2016,Race/ethnicity,Black,All ages,33,119.6,
Inyo,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,Black,All ages,893,177.6,
Kings,2016,Race/ethnicity,Black,All ages,139,157.4,
Lake,2016,Race/ethnicity,Black,All ages,29,284.8,
Lassen,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Race/ethnicity,Black,All ages,"12,869",167,
Madera,2016,Race/ethnicity,Black,All ages,96,315.7,
Marin,2016,Race/ethnicity,Black,All ages,73,114.7,
Mariposa,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Race/ethnicity,Black,All ages,260,300,
Modoc,2016,Race/ethnicity,Black,All ages,0,0,
Mono,2016,Race/ethnicity,Black,All ages,0,0,
Monterey,2016,Race/ethnicity,Black,All ages,124,127.2,
